time[s],ax[m/s^2],ay[m/s^2],az[m/s^2],awx[m/s^2],awy[m/s^2],awz[m/s^2],ar[rad],br[rad],gr[rad]
0,0.29236,-0.14815,1.21714,-0.59683,-0.58498,0.94364,4.77956,0.46149,0.21349
0,0.29236,-0.14815,1.21714,-0.59683,-0.58498,0.94364,4.77956,0.46149,0.21349
0.021,-0.01486,0.08933,-0.45886,0.27498,0.13104,-0.35492,4.77275,0.47383,0.21902
0.042,-0.22585,0.15332,-1.19383,0.61684,0.51935,-0.92169,4.77035,0.47459,0.22163
0.062,0.01403,-0.05083,-0.90126,0.34368,0.20406,-0.8095,4.77042,0.47076,0.22091
0.083,0.40669,-0.41877,0.46053,-0.50683,-0.52572,0.13998,4.76909,0.45779,0.21659
0.103,0.37422,-0.51495,0.4121,-0.57923,-0.48523,0.06386,4.76567,0.45426,0.21554
0.124,-0.85334,0.14591,0.40551,-0.15592,0.74186,0.58245,4.75976,0.45204,0.21286
0.144,-1.13162,0.37754,0.87277,-0.18009,0.92013,1.1427,4.75821,0.45417,0.20762
0.165,-0.57138,0.25081,-0.01341,0.15192,0.57164,0.19928,4.76236,0.4682,0.19307
0.185,-0.50211,0.30559,-0.14771,0.26752,0.53575,0.0934,4.76548,0.47444,0.18671
0.206,-0.30552,0.33694,-0.29968,0.38923,0.37667,-0.05746,4.7687,0.48011,0.17972
0.227,-0.39026,0.3902,-0.36521,0.4541,0.47523,-0.07672,4.77231,0.48576,0.17261
0.247,-0.47222,1.09012,0.0058,0.87937,0.53289,0.59508,4.78771,0.50115,0.16083
0.268,-0.00763,0.53649,0.0056,0.46219,0.04786,0.26832,4.8012,0.51123,0.15396
0.289,0.18917,0.27434,-0.12773,0.32984,-0.13627,0.00204,4.81217,0.51812,0.14686
0.31,0.38814,1.50006,-0.09638,1.40633,-0.21936,0.61986,4.82104,0.52368,0.14225
0.33,0.41435,0.2817,1.05779,-0.1946,-0.57708,0.99954,4.84033,0.53648,0.12955
0.351,1.63174,0.19656,1.52502,-0.27304,-1.85248,1.23316,4.8464,0.54524,0.11759
0.372,0.69846,0.06055,0.94937,-0.3005,-0.83819,0.77457,4.8515,0.55969,0.09848
0.393,-0.77359,0.85705,0.90168,0.09616,0.7161,1.27434,4.8559,0.57314,0.08423
0.413,-0.1442,0.28243,0.74226,-0.19387,0.06157,0.78111,4.86047,0.5895,0.07324
0.433,1.78107,0.42056,-2.10014,1.86852,-1.39451,-1.52434,4.8676,0.62948,0.05333
0.454,1.86882,0.15474,-2.34726,1.81124,-1.52181,-1.8519,4.86315,0.63681,0.03871
0.475,0.92446,0.46162,-2.07951,1.74083,-0.62426,-1.40424,4.85183,0.64614,0.03072
0.495,0.14019,0.10924,-2.05287,1.33528,0.10682,-1.56572,4.83983,0.65408,0.03719
0.515,-0.89221,-2.98228,-1.74911,-1.35381,0.86192,-3.18962,4.81811,0.68034,0.06265
0.535,-0.48566,-3.0727,-2.70484,-0.73214,0.61989,-4.00914,4.80987,0.69198,0.07546
0.556,0.29618,-2.57357,-3.97677,0.60712,0.11816,-4.70565,4.80226,0.70318,0.09019
0.577,0.17698,-2.08667,-4.23811,1.14841,0.32321,-4.57425,4.80011,0.7086,0.09394
0.598,0.12366,-2.53521,-2.945,0.0375,0.14209,-3.8851,4.79516,0.72351,0.08897
0.618,-0.39809,-3.93336,-4.27565,-0.1774,0.774,-5.76892,4.78861,0.72961,0.09107
0.639,-0.72977,-4.70328,-5.15128,-0.21839,1.19327,-6.90778,4.78441,0.72968,0.09318
0.66,-1.0368,-5.04322,-5.90041,-0.05582,1.49873,-7.68599,4.78675,0.72293,0.07892
0.68,-0.81276,-4.8583,-4.01748,-1.10384,0.78354,-6.21059,4.79926,0.71687,0.01586
0.701,-0.56923,-5.82802,-3.18261,-2.38291,0.2836,-6.21773,4.80705,0.70887,-0.01934
0.722,0.11644,-6.1146,-4.86023,-1.58446,-0.40936,-7.63843,4.81223,0.69104,-0.02737
0.743,-0.08387,-6.20185,-5.04008,-1.73919,-0.22775,-7.79716,4.81475,0.66714,-0.02633
0.763,-0.51528,-7.71177,-3.66307,-4.24487,-0.02922,-7.42531,4.81741,0.60875,-0.02708
0.783,-1.59733,-8.48736,-3.69982,-5.09794,0.90751,-7.83982,4.81818,0.58809,-0.04195
0.804,-0.77303,-9.24145,-4.49131,-5.50243,-0.08613,-8.71147,4.82226,0.55382,-0.0566
0.825,-0.18032,-8.80853,-3.56689,-5.85079,-0.67883,-7.46009,4.82352,0.51728,-0.05772
0.845,-0.84856,-8.72296,-2.31323,-6.72701,-0.02828,-6.07517,4.82386,0.47356,-0.05496
0.865,-0.52479,-8.93804,1.74065,-8.95698,-0.54154,-1.63497,4.84508,0.36849,-0.07174
0.886,0.45975,-8.5894,1.31533,-8.42833,-1.60044,-1.45636,4.85844,0.32384,-0.0773
0.907,1.02762,-8.37166,0.46493,-7.97419,-2.27152,-1.61532,4.87001,0.25787,-0.07176
0.927,-0.34995,-8.36747,0.88704,-8.32613,-0.95451,-0.82967,4.87493,0.20158,-0.06339
0.948,-0.99957,-7.59308,6.38388,-8.06137,-0.08369,5.86645,4.88694,0.05909,-0.05003
0.968,-0.1645,-7.50389,6.51253,-7.46456,-0.88555,6.49958,4.89065,-0.00009,-0.04419
0.989,0.12017,-6.94739,5.78762,-6.48841,-1.08744,6.20445,4.89369,-0.06156,-0.03809
1.01,0.83179,-6.12564,5.56551,-4.99319,-1.63344,6.44904,4.89859,-0.15199,-0.02707
1.031,0.52469,-4.57193,9.98909,-1.26055,-0.74228,10.90045,4.91,-0.30306,-0.00444
1.051,0.80937,-2.43585,14.23826,3.43646,-0.31396,14.05022,4.91846,-0.40024,0.01413
1.071,1.01002,-0.43778,14.6858,6.342,-0.13436,13.2908,4.92223,-0.4648,0.03016
1.092,0.99526,0.39179,14.32483,7.65166,-0.04781,12.15708,4.92321,-0.52366,0.04565
1.112,1.543,2.05801,13.25012,9.37865,-0.43994,9.69686,4.92367,-0.59688,0.06474
1.133,1.89681,5.84179,16.21877,15.14368,-0.20622,8.44981,4.92933,-0.69948,0.09715
1.153,2.19114,8.0039,18.96726,19.07052,-0.24806,8.05447,4.93128,-0.7547,0.11662
1.174,1.47183,9.88344,20.01118,21.25551,0.59148,6.93899,4.92887,-0.78433,0.12666
1.195,1.22507,10.55495,20.80247,22.4023,0.6829,6.58188,4.92309,-0.80419,0.13518
1.215,-0.30974,12.00267,25.58143,26.7986,1.85687,8.7725,4.90348,-0.8111,0.14015
1.236,-0.35643,11.21693,26.58285,26.68536,1.76436,10.83386,4.88802,-0.78235,0.12368
1.257,-0.36566,10.1782,26.00343,25.11856,1.63062,12.09573,4.87339,-0.7465,0.10714
1.278,-1.06478,7.88986,25.56781,22.47963,2.00569,14.41319,4.85824,-0.7023,0.09176
1.298,-2.70595,5.32284,28.36985,19.90629,2.66767,20.90757,4.82571,-0.58055,0.08107
1.319,-2.8208,4.713,36.29824,22.05631,1.95293,29.28202,4.81929,-0.51862,0.08886
1.34,-6.60072,4.42657,40.20138,19.78727,4.6251,35.58634,4.81189,-0.40674,0.09797
1.361,-8.60432,2.99759,38.47788,14.02951,6.46143,36.40042,4.80683,-0.30437,0.09004
1.381,-6.75871,-12.11187,45.46008,-10.12681,5.30548,46.13346,4.81264,-0.05599,0.01025
1.401,-4.28341,-12.32852,31.94662,-14.05821,3.46173,31.32587,4.82228,0.04005,-0.02192
1.422,-0.22924,-9.91394,6.85993,-10.55008,-0.65944,5.8016,4.83346,0.10097,-0.05699
1.444,-2.32916,-3.27578,-9.19945,-1.98865,1.33075,-9.74986,4.85058,0.1556,-0.07942
1.464,-0.72051,-2.53873,-10.54549,-0.10388,-0.12479,-10.86947,4.8794,0.2244,-0.07823
1.484,-0.66167,-2.90279,-10.33384,-0.03047,-0.15394,-10.75303,4.89888,0.2679,-0.07801
1.504,-0.64214,-3.17463,-10.20012,0.01021,-0.15531,-10.70088,4.91363,0.29924,-0.07796
1.525,-0.6385,-3.44072,-10.02113,0.02504,-0.14177,-10.61361,4.92856,0.32958,-0.07795
1.546,-0.63593,-3.80626,-9.7522,0.0042,-0.1283,-10.48718,4.9488,0.36895,-0.07798
1.566,-0.62005,-4.29961,-9.39111,-0.00002,-0.11511,-10.34654,4.97996,0.42561,-0.07772
1.586,-0.58923,-4.60806,-9.16025,0.00224,-0.12565,-10.27014,5.00136,0.46201,-0.07743
1.607,-0.57733,-4.85116,-9.00092,-0.01214,-0.12722,-10.24048,5.01776,0.48864,-0.0771
1.628,-0.57274,-5.13874,-8.74319,-0.03761,-0.11541,-10.15693,5.04016,0.52329,-0.0765
1.648,-0.54411,-5.55084,-8.34495,-0.08293,-0.12421,-10.03613,5.07503,0.5739,-0.07548
1.669,-0.52302,-5.8136,-8.1135,-0.09415,-0.13247,-9.9937,5.09932,0.60706,-0.07509
1.69,-0.5008,-6.02066,-7.89059,-0.13677,-0.16086,-9.93559,5.11816,0.63181,-0.07525
1.711,-0.4988,-6.21483,-7.72168,-0.14541,-0.16329,-9.92217,5.13758,0.65657,-0.07598
1.731,-0.51436,-6.66812,-7.22618,-0.22112,-0.19711,-9.84166,5.18564,0.7149,-0.08137
1.752,-0.53408,-6.84519,-7.0461,-0.21889,-0.20086,-9.83367,5.20765,0.74025,-0.08594
1.772,-0.58679,-7.09794,-6.73701,-0.26993,-0.21999,-9.79751,5.23867,0.77452,-0.09496
1.794,-0.65042,-7.28265,-6.48717,-0.31813,-0.22911,-9.76676,5.26342,0.80061,-0.10432
1.814,-0.78929,-7.6336,-5.98415,-0.38569,-0.26465,-9.7204,5.31759,0.85366,-0.13084
1.834,-0.90453,-7.87559,-5.63625,-0.43285,-0.29794,-9.71259,5.35804,0.88961,-0.15519
1.855,-1.00237,-8.05198,-5.36306,-0.46712,-0.32536,-9.70966,5.39115,0.91687,-0.17744
1.876,-1.15049,-8.2479,-4.96422,-0.51054,-0.35587,-9.67511,5.43987,0.95363,-0.21327
1.896,-1.24972,-8.4207,-4.67171,-0.52384,-0.40236,-9.68806,5.48091,0.98191,-0.24591
1.916,-1.5226,-8.70287,-4.09347,-0.54463,-0.42602,-9.7127,5.57445,1.03619,-0.32491
1.937,-1.71116,-8.85721,-3.721,-0.52326,-0.42711,-9.73488,5.64788,1.07089,-0.39007
1.957,-1.85209,-8.97766,-3.40915,-0.52626,-0.44853,-9.75566,5.70983,1.09557,-0.4464
1.978,-2.0722,-9.11833,-3.00819,-0.52226,-0.44229,-9.79891,5.80264,1.12606,-0.53234
1.999,-2.38543,-9.26905,-2.4836,-0.42307,-0.39918,-9.87094,5.96494,1.16437,-0.68474
2.019,-2.58385,-9.34795,-2.13928,-0.34292,-0.37631,-9.91856,6.08729,1.18332,-0.80073
2.04,-2.74146,-9.38195,-1.83962,-0.32213,-0.3689,-9.93383,6.18475,1.19347,-0.89355
2.061,-2.90476,-9.41048,-1.5586,-0.29187,-0.35137,-9.96069,0.00213,1.19989,-0.98944
2.081,-3.25742,-9.39632,-0.91071,-0.21663,-0.32235,-9.97899,0.23686,1.20012,-1.21345
2.101,-3.41734,-9.37975,-0.63015,-0.20188,-0.31171,-9.99585,0.33236,1.19427,-1.30416
2.122,-3.60421,-9.30728,-0.30868,-0.14153,-0.28266,-9.98054,0.45074,1.1816,-1.41605
2.142,-3.75995,-9.26,-0.02777,-0.14552,-0.28352,-9.9892,0.5313,1.16889,-1.49178
2.162,-3.8983,-9.19116,0.26961,-0.16452,-0.30782,-9.98123,0.60458,1.15394,-1.56035
2.182,-4.21703,-8.95829,0.78925,-0.1139,-0.27172,-9.92826,3.88914,2.02894,1.44835
2.203,-4.3603,-8.87409,1.00883,-0.10212,-0.26601,-9.9347,3.93946,2.04855,1.40194
2.224,-4.56152,-8.72307,1.25353,-0.07923,-0.22121,-9.92046,3.99754,2.07585,1.34892
2.245,-4.68174,-8.61217,1.4272,-0.04923,-0.21332,-9.90339,4.03501,2.09687,1.31518
2.265,-4.99807,-8.32694,1.83544,-0.04912,-0.19521,-9.88165,4.10507,2.14661,1.25423
2.286,-5.11791,-8.21568,1.99009,-0.03827,-0.20452,-9.87965,4.12862,2.16788,1.23487
2.307,-5.28736,-8.01786,2.15973,-0.04244,-0.18696,-9.84225,4.15476,2.19591,1.21472
2.328,-5.42273,-7.89624,2.26939,-0.03729,-0.17723,-9.84246,4.17083,2.21658,1.20356
2.348,-5.67508,-7.62164,2.4511,-0.0471,-0.1736,-9.8118,4.19475,2.25665,1.19127
2.368,-5.85159,-7.46982,2.52407,-0.03655,-0.17547,-9.81724,4.20533,2.28235,1.19042
2.389,-5.98081,-7.32647,2.54713,-0.03814,-0.16622,-9.79316,4.21085,2.30112,1.19342
2.41,-6.15312,-7.16464,2.57346,-0.04267,-0.18592,-9.78669,4.21533,2.32546,1.20223
2.43,-6.42958,-6.91343,2.55541,-0.07396,-0.22515,-9.77798,4.21637,2.3606,1.22621
2.45,-6.58419,-6.79525,2.482,-0.07334,-0.22216,-9.77919,4.2146,2.37762,1.24303
2.47,-6.77073,-6.61616,2.35611,-0.0866,-0.23563,-9.75216,4.21005,2.39983,1.27055
2.491,-6.9154,-6.51124,2.22456,-0.0765,-0.25168,-9.75185,4.20512,2.41618,1.29497
2.512,-7.10855,-6.34352,2.06942,-0.12334,-0.31634,-9.74366,4.19649,2.43765,1.33291
2.532,-7.39508,-6.09587,1.71243,-0.18631,-0.4141,-9.72487,4.17886,2.46928,1.40273
2.553,-7.56709,-5.91769,1.30549,-0.18762,-0.41901,-9.68367,4.16345,2.49021,1.45929
2.574,7.65826,2.48419,15.11206,-4.72583,-12.95232,10.15373,0.93719,0.59401,-1.36575
2.595,45.15664,95.45853,120.22486,-52.58103,-57.5733,139.73553,1.06235,0.61708,-0.99148
2.616,27.55214,-1.83901,-22.83446,24.63662,25.70629,4.01724,0.94643,0.59792,-0.86371
2.637,-7.73881,-1.36527,6.41151,-5.43465,-8.34675,-1.91232,0.9375,0.47062,-0.83676
2.658,-12.25397,14.60363,7.99708,-20.20906,-4.30005,0.69461,1.07111,0.41909,-0.9817
2.679,-10.19038,16.83238,9.81973,-21.33837,-4.58089,2.69992,1.10334,0.36424,-1.01882
2.699,3.35037,5.34623,9.29324,-5.68901,-3.53909,9.01562,1.09208,0.22521,-0.96874
2.72,4.38006,10.09174,8.62668,-9.59399,-0.26457,10.16529,1.11179,0.17123,-0.95217
2.741,3.60794,12.16506,4.71155,-11.03585,3.2417,7.13485,1.13569,0.12329,-0.94616
2.762,5.76803,10.48435,5.30201,-9.42153,3.03971,8.56142,1.15839,0.07764,-0.95435
2.782,5.50625,4.17417,7.44867,-4.48632,-0.94252,9.06696,1.16176,0.04823,-0.92661
2.803,5.78451,1.38364,2.49115,-0.42425,2.10415,6.08057,1.17206,0.02899,-0.87855
2.824,5.46604,1.75219,-0.55189,-0.06404,4.43247,3.68801,1.1857,0.00754,-0.83337
2.845,4.38094,4.56221,-0.934,-2.92218,5.18549,2.3346,1.19948,-0.01783,-0.77981
2.865,2.04981,1.48043,-1.77317,-0.52621,3.02912,-0.29167,1.24635,-0.06596,-0.64133
2.885,2.98799,1.92466,2.35037,-1.74749,1.75359,3.46812,1.26921,-0.07467,-0.59547
2.905,4.63387,0.59405,0.54329,0.24092,3.78114,2.78671,1.2921,-0.07621,-0.53777
2.926,3.78314,0.41042,-0.80148,0.50091,3.70583,1.06717,1.30458,-0.07493,-0.49747
2.947,3.11051,2.57603,1.4573,-2.12481,2.84117,2.41822,1.33063,-0.06529,-0.41682
2.967,2.39873,2.08574,0.85144,-1.67551,2.35061,1.58001,1.33569,-0.05564,-0.38956
2.987,-0.41206,0.29201,-1.06391,-0.24149,0.04681,-1.15172,1.33783,-0.04033,-0.36057
3.008,-2.26031,-0.66348,-1.31956,0.31402,-1.81266,-1.97639,1.33942,-0.02912,-0.33926
3.029,-2.4632,-1.097,-1.48445,0.68715,-2.07692,-2.16531,1.34256,-0.01941,-0.32165
3.049,-0.68921,-0.49847,-0.66688,0.3888,-0.5592,-0.83925,1.3546,-0.00148,-0.2983
3.07,0.06741,-0.37458,0.17062,0.37076,-0.06371,0.18012,1.35825,0.00702,-0.28931
3.091,0.11787,-0.53518,-0.78438,0.57885,0.21447,-0.73109,1.35838,0.02004,-0.28227
3.112,-0.67961,-1.71083,-1.2211,1.56445,-0.66142,-1.41241,1.3558,0.02976,-0.28239
3.132,0.0438,-3.11075,-0.04523,3.04252,-0.62542,-0.1807,1.35052,0.04797,-0.27622
3.152,-0.19843,-1.757,-2.12762,1.68604,0.01559,-2.19322,1.35037,0.05361,-0.27361
3.173,-0.45574,-0.85231,-2.56305,0.73788,0.09969,-2.63609,1.34959,0.05902,-0.27569
3.194,-0.06395,-0.25892,-2.89954,0.23377,0.71268,-2.81352,1.34575,0.06767,-0.28251
3.215,-0.47333,0.3079,-1.33094,-0.42967,0.0509,-1.3795,1.32877,0.08697,-0.30376
3.235,-2.6563,-1.2307,-2.24058,0.45531,-1.96975,-3.08277,1.32051,0.09952,-0.32709
3.255,-2.0504,-2.08964,-2.19526,1.43684,-1.58716,-2.96754,1.32044,0.10615,-0.34698
3.277,0.01981,-1.58111,-1.67598,1.50419,0.24262,-1.72851,1.3228,0.11077,-0.3571
3.297,-0.1958,2.239,-1.4378,-2.21925,0.9344,-1.14915,1.30287,0.11557,-0.35315
3.317,-1.33282,1.2377,-1.96266,-1.58148,-0.11647,-2.15539,1.28699,0.111,-0.36058
3.337,-2.83267,-1.1075,-1.94604,0.2397,-2.07326,-2.94648,1.27346,0.09331,-0.37885
3.359,-0.75487,-1.40527,0.11721,1.1054,-1.11935,-0.28898,1.26965,0.07417,-0.39914
3.379,1.43671,-0.62378,1.46931,0.91478,0.4636,1.88689,1.2675,0.05809,-0.41847
3.4,-0.98865,-0.13515,0.1554,-0.17579,-0.95602,-0.27381,1.26528,0.0564,-0.42557
3.42,-0.10632,-0.57095,-0.11981,0.51941,-0.21319,-0.19082,1.26607,0.06695,-0.42453
3.441,-0.56344,-0.30025,-0.48188,0.14535,-0.372,-0.69305,1.26673,0.07345,-0.42978
3.462,0.0667,0.2959,-0.19983,-0.24956,0.22975,-0.12987,1.26766,0.07682,-0.43554
3.482,0.50676,-0.16994,0.8428,0.271,0.02341,0.96022,1.26823,0.08432,-0.43633
3.502,-0.21877,-0.14417,0.51689,0.04669,-0.44803,0.36457,1.26793,0.0914,-0.42837
3.523,-0.37181,0.12195,0.36856,-0.243,-0.43679,0.19779,1.26862,0.10381,-0.41747
3.543,-0.45735,0.00126,0.19882,-0.14904,-0.4759,-0.00121,1.27013,0.1141,-0.41281
3.563,-0.44452,0.31042,-0.13736,-0.43402,-0.23544,-0.26272,1.2725,0.12429,-0.41107
3.583,0.30008,0.28185,-0.44082,-0.17506,0.52371,-0.24268,1.27557,0.14355,-0.40718
3.604,-0.10387,0.20667,-0.07007,-0.23027,-0.00027,-0.07338,1.27466,0.15064,-0.40882
3.625,-0.12885,-0.08091,0.32149,0.0414,-0.27154,0.22595,1.2746,0.16179,-0.41543
3.646,0.05518,0.1426,0.05191,-0.11453,0.06523,0.09329,1.27566,0.1717,-0.42172
3.666,-0.06035,0.23777,-0.96634,-0.28674,0.44865,-0.8429,1.27579,0.19061,-0.42769
3.687,-0.05256,0.1341,-0.7375,-0.17836,0.32558,-0.65333,1.27471,0.19482,-0.42957
3.708,-0.24826,-0.0192,0.10634,-0.06246,-0.26321,-0.01135,1.27379,0.19851,-0.43327
3.729,-0.18287,-0.08497,-0.0277,0.01459,-0.16524,-0.11795,1.2735,0.20409,-0.43942
3.749,0.53251,0.41944,-0.05692,-0.20697,0.5927,0.26193,1.2716,0.21306,-0.44382
3.769,0.11379,0.52824,-0.2569,-0.46724,0.36826,-0.06369,1.2699,0.21925,-0.4447
3.789,-0.13624,0.26439,-0.18438,-0.3067,0.05014,-0.16087,1.26942,0.22376,-0.44695
3.811,-0.11949,-0.00737,0.0386,-0.0338,-0.11974,-0.01849,1.26945,0.22868,-0.45045
3.831,0.46327,0.34779,-0.46756,-0.18553,0.70977,-0.12649,1.26694,0.24174,-0.45561
3.852,0.39269,0.4254,-1.52257,-0.35962,1.18797,-1.0549,1.26295,0.24536,-0.45608
3.873,-0.47618,-0.068,-0.29885,-0.13746,-0.26641,-0.48043,1.26102,0.24434,-0.4566
3.894,-0.41049,-0.11129,-0.08497,-0.0575,-0.32853,-0.27726,1.26011,0.24391,-0.45893
3.914,0.52243,-0.1404,0.30223,0.3491,0.24018,0.45214,1.25813,0.24602,-0.45609
3.934,0.46268,-0.02122,0.6028,0.24102,0.08035,0.71649,1.26061,0.25019,-0.45583
3.955,0.09309,0.14914,-0.29339,-0.12729,0.26355,-0.17701,1.26501,0.25699,-0.45699
